Rank,Word,Occurrences,Duolingo_Words,JLPT_Words,JLPT_Level,Definitions,JLPT_Jisho_Level,JLPT_Additional_Difficulty
1.0,の,100210912.0,1,1,N5,['indicates possessive'],NaN,[]
2.0,に,48486620.0,1,1,N5,"['two', '2']",N5,[]
3.0,を,45359475.0,1,1,N5,['indicates direct object of action'],NaN,[]
4.0,は,44889871.0,1,1,N5,['indicates sentence topic'],NaN,[]
5.0,年,36248501.0,1,1,N5,['year'],N5,[]
6.0,が,35947527.0,1,1,N5,['indicates the subject of a sentence'],NaN,[]
7.0,た,33512205.0,1,0,,['rice field'],N3,[]
8.0,で,31990565.0,1,1,N5,"['coming out', 'going out', 'outflow', 'efflux', 'rising (of the Sun or the Moon)']",NaN,[]
9.0,て,30603437.0,1,0,,"['hand', 'arm']",N5,[]
10.0,と,27106309.0,1,1,N5,['door (esp. Japanese-style)'],N5,[]
11.0,し,25876681.0,1,0,,"['poem', 'poetry', 'verse']",N3,[]
12.0,月,22100273.0,1,1,N3,['Moon'],N3,[]
13.0,日,19498084.0,1,1,N4,['Sunday'],N3,[]
14.0,れ,13622644.0,0,0,,"['check mark', 'tick mark']",NaN,[]
15.0,さ,13476266.0,1,0,,"['difference', 'variation']",N3,[]
16.0,者,12525647.0,1,1,N3,['person'],N3,[]
17.0,する,11437408.0,0,0,,"['to do', 'to carry out', 'to perform']",N5,['N3']
18.0,も,10751257.0,1,1,N5,"['too', 'also', 'in addition', 'as well', '(not) either (in a negative sentence)']",NaN,[]
19.0,ます,10560217.0,1,0,,"['to increase', 'to grow']",N3,[]
20.0,利用,10474017.0,0,1,N4,"['use', 'utilization', 'utilisation', 'application']",N4,[]
21.0,こと,8758344.0,0,0,,"['thing', 'matter']",N3,[]
22.0,ある,8719101.0,0,0,,"['to be', 'to exist', 'to live']",N5,"['N2', 'N3']"
23.0,いる,8447518.0,0,0,,"['to be (of animate objects)', 'to exist']",N5,[]
24.0,な,8403153.0,1,0,,"[""don't""]",NaN,[]
25.0,から,7117470.0,1,1,N5,"['from (e.g. time, place, numerical quantity)', 'since']",NaN,[]
26.0,い,6821996.0,1,0,,['stomach'],N3,[]
27.0,ない,6511289.0,1,0,,"['nonexistent', 'not being (there)']",NaN,[]
28.0,ページ,5975399.0,1,0,,['page'],N5,[]
29.0,第,5552379.0,0,1,N1,['prefix for forming ordinal numbers'],N1,[]
30.0,へ,4915429.0,1,1,N5,"['to', 'towards', 'for']",NaN,[]
31.0,や,4864865.0,1,1,N5,['arrow'],N1,[]
32.0,日本,4802145.0,1,1,N3,['Japan'],N3,[]
33.0,として,4730669.0,0,0,,"['as (i.e. in the role of)', 'for (i.e. from the viewpoint of)']",NaN,[]
34.0,です,4603205.0,0,1,N5,"['be', 'is']",NaN,[]
35.0,か,4517292.0,1,0,,['lesson'],N3,[]
36.0,会話,4511440.0,0,1,N4,"['conversation', 'talk', 'chat']",N4,[]
37.0,削除,4399572.0,1,1,N2,"['deletion', 'elimination', 'erasure', 'striking out']",N2,[]
